Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Sat Apr 18 19:04:03 EDT 2020,ServerMain.java,1587251043975,19650,0,(D)2(F)1(D)1,0.0,75.0,0.0,25.0,0.0,0.0,0.21052631578947367,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Sat Apr 18 19:04:03 EDT 2020,ServerMain.java, 1587251043975
2,,Sat Apr 18 19:04:23 EDT 2020,ServerMain.java,1587251063627,32715,0,(D)1(F)1(D)2,0.0,75.0,0.0,25.0,0.0,0.0,0.125,0.0,0.09375,0.03125,0.0,0.0,0.0,1.0,[1587251084745 3 COMP 533 https://piazza.com/class/k55gm6u0c3s3jt?cid=111]
3,,Sat Apr 18 19:05:01 EDT 2020,ServerMain.java,1587251101349,21249,0,(D)1,0.0,100.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,[]
4,,Sat Apr 18 19:05:26 EDT 2020,Server.java,1587251126176,23978,0,(F)1(I)1(D)2,0.25,50.0,0.0,25.0,0.0,0.0,0.17391304347826086,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,[]
5,,Sat Apr 18 19:01:30 EDT 2020,Client.java,1587250890705,286170,0,(I)1(D)2,0.3333333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.01048951048951049,0.0,0.006993006993006993,0.0,0.0,0.0,0.0034965034965034965,0.0,[]
6,,Sat Apr 18 19:06:17 EDT 2020,Client.java,1587251177313,22910,0,(D)1(I)1(D)1,0.3333333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,[]
7,,Sat Apr 18 19:06:44 EDT 2020,Client.java,1587251204260,23295,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,[]
8,,Sat Apr 18 19:07:07 EDT 2020,ServerMain.java,1587251227561,24583,0,(F)2(I)1(D)1(F)2(D)2,0.125,37.5,0.0,50.0,0.0,0.0,0.3333333333333333,0.0,0.125,0.16666666666666666,0.0,0.0,0.041666666666666664,0.0,[]
9,,Sat Apr 18 19:07:36 EDT 2020,ServerMain.java,1587251256188,14513,0,(D)4(I)1(D)2(F)1(D)1,0.1111111111111111,77.77777777777779,0.0,11.11111111111111,0.0,0.0,0.6428571428571429,0.0,0.5,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,[]
10,,Sat Apr 18 19:07:54 EDT 2020,ServerMain.java,1587251274096,22009,0,(F)1(D)1(I)3(F)1(D)1,0.42857142857142855,28.57142857142857,0.0,28.57142857142857,0.0,0.0,0.3181818181818182,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.13636363636363635,0.0,[]
11,,Sat Apr 18 19:08:16 EDT 2020,ServerMain.java,1587251296204,26023,0,(F)2(D)1,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.11538461538461539,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,1.0,[1587251317059 42 www.cs.unc.edu/~dewan/533/current/index.html http://www.cs.unc.edu/~dewan/533/current/index.html]
12,,Sat Apr 18 19:08:42 EDT 2020,ServerMain.java,1587251322738,27589,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,1.0,[]
13,,Sat Apr 18 19:09:10 EDT 2020,ServerMain.java,1587251350531,26770,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,3.0,[]
14,,Sat Apr 18 19:09:37 EDT 2020,ServerMain.java,1587251377860,22029,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,[]
15,,Sat Apr 18 19:10:04 EDT 2020,ServerMain.java,1587251404838,8519,8519,(D)1,0.0,100.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,[]
16,,Sat Apr 18 19:10:17 EDT 2020,ServerMain.java,1587251417417,34943,0,(D)3,0.0,100.0,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,1.0,[]
17,,Sat Apr 18 19:10:52 EDT 2020,ServerMain.java,1587251452470,19323,0,(D)2,0.0,100.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,[]
18,,Sat Apr 18 19:11:11 EDT 2020,RunS20A5Tests.java,1587251471796,85373,0,(D)3(F)1(I)7,0.6363636363636364,27.27272727272727,0.0,9.090909090909092,0.0,0.0,0.12941176470588237,0.0,0.03529411764705882,0.011764705882352941,0.0,0.0,0.08235294117647059,0.0,[]
